FID	GEOID10
1857	3702501-09
1858	370734N
1859	370734S
1860	370732
1861	370733
1862	370731
1863	370735
1864	3702501-07
1865	3702506-00
1866	3702507-00
1867	3702508-00
1868	3702509-00
1869	3702504-04
1870	3702512-10
1871	3702504-03
1872	3702504-09
1873	37133HR17
1874	37133FS16
1875	37133SW19
1876	37133EN03
1877	37133CR07
1878	37133NR02
1879	37133WN04
1880	37133BM08
1881	37133RL09
1882	37133NE22
1883	37133JA01
1884	37133GB12
1885	37133MT24
1886	37133ML23
1887	37133BC21
1888	37133TL06
1889	37133VR15
1890	37133CL10
1891	37133NM13
1892	37133HU20
1893	37133HM05
1894	37133HN14
1895	37133SF18
1896	3702113.1
1897	3702124.1
1898	37021101.1
1899	37145HLWY
1900	37145ROX3
1901	37145WDSD
1902	37145CUCL
1903	37145MTTZ
1904	37145FLRI
1905	3702171.1
1906	3702128.1
1907	3702166.1
1908	3702161.1
1909	3702160.2
1910	3702149.1
1911	3702163.1
1912	3702115.1
1913	3702162.1
1914	3702133.3
1915	3702134.1
1916	37021107.1
1917	37145ROX4
1918	37145ROX2
1919	37145RX1A
1920	37145ROX1
1921	37145HUML
1922	37145ALVI
1923	37145BFRK
1924	37145OLHI
1925	3702119.1
1926	3702138.3
1927	3702110.1
1928	3702112.1
1929	3702137.1
1930	3702101.1
1931	3702155.1
1932	3702150.1
1933	3702164.1
1934	3702111.1
1935	3702105.1
1936	3702135.1
1937	3702141.1
1938	3702131.1
1939	37021103.1
1940	3702158.1
1941	3702157.1
1942	3702145.1
1943	3702136.1
1944	3702103.1
1945	37021105.1
1946	3702106.1
1947	3702133.2
1948	37021104.1
1949	3702132.1
1950	3702125.1
1951	3702159.1
1952	3702139.1
1953	37021100.1
1954	3702114.2
1955	3702104.1
1956	3702152.1
1957	37021106.1
1958	3702146.1
1959	3702168.1
1960	37021102.1
1961	3702170.1
1962	3702165.1
1963	3702147.1
1964	3702153.1
1965	3702148.1
1966	3702138.2
1967	3702107.1
1968	3702120.1
1969	3702167.1
1970	3702117.1
1971	3702126.1
1972	3702102.1
1973	3702130.1
1974	3702169.1
1975	3702144.1
1976	3702109.1
1977	3715529
1978	3715507
1979	3715519
1980	3715505
1981	3715538
1982	3715540
1983	3715537
1984	3715511
1985	3715515
1986	3715520
1987	3715536
1988	3715521
1989	3715502
1990	3715526
1991	3715535
1992	3715541
1993	3715539
1994	3715532
1995	3715530
1996	3715503
1997	3715501
1998	3715510
1999	3715533
2000	3715531
2001	3715528
2002	3715522
2003	3715527
2004	3715524
2005	3715525
2006	3715504
2007	3715523
2008	3715516
2009	3715517
2010	3715513
2011	3715512
2012	3715514
2013	3715508
2014	3715506
2015	3715518A
2016	3715509
2017	3715534
2018	37055KTHK
2019	37055DUCK
2020	37055KDH
2021	37055EL
2022	37055STPT
2023	37055CHCA
2024	37055MH
2025	37141CF11
2026	37055SOSH
2027	37055COL
2028	37055MATO
2029	37055NGHD
2030	37055AVON
2031	37141CL05
2032	37141CS04
2033	37141CT03
2034	37141GR06
2035	37141LC09
2036	37141LU16
2037	37141MH07
2038	37141MT19
2039	37143PARKVI
2040	37143BELVID
2041	37143NICANO
2042	37143BETHEL
2043	37143EAST-H
2044	37055HAT
2045	37055FRCO
2046	37055BUX
2047	37141NB01
2048	37141PL10
2049	37143WEST-H
2050	37143NEW-HO
2051	37055WAN
2052	37141RP20
2053	37141SB02
2054	37141SC13
2055	37141SP15
2056	37141UH08
2057	37141UT14
2058	37141UU17
2059	371658
2060	371653
2061	371654
2062	371659
2063	371657
2064	3716510
2065	371652
2066	371655
2067	371656
2068	371651
2069	37013RVRD
2070	37013AUROR
2071	37013NCRK
2072	37013WASH1
2073	37013BLCK
2074	37013OLDF
2075	37013PINET
2076	37013BELHV
2077	37013GILEA
2078	37013TCRK
2079	37013PSJW3
2080	37013CHOCO
2081	37013WASH2
2082	37013PANTE
2083	37013WASH4
2084	37013BEADM
2085	37013EDWAR
2086	37013SURBA
2087	37013HB
2088	37013WDPD
2089	37013WASHP
2090	3700506
2091	3700505
2092	3700501
2093	3700503
2094	3700504
2095	3700502
2096	3700507
2097	3716104A
2098	3716116A
2099	3716127
2100	3716128
2101	3716106A
2102	3716113
2103	3716130
2104	3716114
2105	3716110A
2106	3716103A
2107	3716119
2108	3716134
2109	3716109A
2110	3716118
2111	3716105A
2112	3716111
2113	3716129
2114	37119001
2115	37119002
2116	37119042
2117	37119043
2118	37119044
2119	37119091
2120	37119092
2121	37119094
2122	37119095
2123	37119096
2124	37119226
2125	3717716
2126	37119003
2127	37119004
2128	37119005
2129	37119045
2130	37119046
2131	37119217
2132	37119097
2133	37119098
2134	37119227
2135	37119229
2136	37119230
2137	37119231
2138	37119232
2139	37119233
2140	37119234
2141	37119236
2142	37119007
2143	37119008
2144	37119047
2145	37119048
2146	37119099
2147	37119100
2148	37119101
2149	37119102
2150	37119103
2151	37119104
2152	37119237
2153	37119238.1
2154	37119151
2155	37119009
2156	37119010
2157	37119049
2158	37119050
2159	37119105
2160	37119106
2161	37119146
2162	37119107.1
2163	37119239
2164	37119145
2165	37119241
2166	37119242
2167	37119243
2168	37119220
2169	37119235
2170	37119011
2171	37119012
2172	37119051
2173	37119052
2174	37119109
2175	37119110
2176	37119111
2177	37119112
2178	37119113
2179	37119204.1
2180	37119149
2181	37119202
2182	37119206
2183	37119013
2184	37119014
2185	37119015
2186	37119054
2187	37119055
2188	37119056
2189	37119114
2190	37119115
2191	37119116
2192	37119117
2193	37119006
2194	37119016
2195	37119057
2196	37119058
2197	37119118
2198	37119119
2199	37119120
2200	37119121
2201	37119017
2202	37119018
2203	37119019
2204	37119059
2205	37119060
2206	37119061
2207	37119123
2208	37119124
2209	37119125
2210	37119126
2211	37119128
2212	37119020
2213	37119021
2214	37119062
2215	37119063
2216	37119129
2217	37119087
2218	37119130
2219	37119022
2220	37119023
2221	37119053
2222	37119064
2223	37119065
2224	37119131
2225	37119132
2226	37119024
2227	37119040
2228	37119025
2229	37119066
2230	37119067
2231	37119133
2232	37119134
2233	37119135
2234	37119136
2235	37119137
2236	37119138
2237	37119148
2238	37119139.1
2239	37119140
2240	37119026
2241	37119027
2242	37119068
2243	37119069
2244	37119070
2245	37119071
2246	37119144
2247	37119141
2248	37119142
2249	37119143
2250	37119028
2251	37119029
2252	37119030
2253	37119031
2254	37119072
2255	37119073
2256	37119074
2257	37119240
2258	37119200
2259	37119201
2260	37119203
2261	37119205
2262	37119207
2263	37119209
2264	37119210
2265	37119211
2266	37119212
2267	37119032
2268	37119033
2269	37119034
2270	37119075
2271	37119076
2272	37119122
2273	37119077
2274	37119225
2275	37119228
2276	37119213
2277	37119214
2278	37119215
2279	37119035
2280	37119036
2281	37119147
2282	37119078.1
2283	37119216
2284	37119218
2285	3717714
2286	3717703
2287	37119037
2288	37119038
2289	37119039
2290	37119041
2291	37119079
2292	37119080
2293	37119081
2294	37119082
2295	37119083
2296	37119084
2297	37119108
2298	37119085
2299	37119093
2300	37119086
2301	37119088
2302	37119089
2303	37119090
2304	37119219
2305	37119221
2306	37119222
2307	37119150
2308	37119223.1
2309	37119224
2310	3717701
2311	3717702
2312	3717715
2313	37157CO
2314	37157MC
2315	37157WM
2316	37157EC
2317	37157RC
2318	37157LI
2319	37157ED-1
2320	37157LK-2
2321	37157DR
2322	37157VA
2323	37157HU
2324	37157HO
2325	37157MD
2326	37157RD-1
2327	37157IR
2328	37157MA
2329	37157NB
2330	37157AV
2331	37173ALMOND
2332	3711306
2333	3711310
2334	3711311
2335	3711309
2336	3711305
2337	3711308
2338	3711302
2339	3711312
2340	3711307
2341	3711313
2342	3711314
2343	3711315
2344	3711304
2345	3711301
2346	3711303
2347	3716917
2348	3716916
2349	3716915
2350	3716912
2351	3716910
2352	3716903
2353	3716911
2354	3716907
2355	3716901
2356	3716902
2357	3716913
2358	3716908
2359	3716906
2360	3716909
2361	3716904
2362	3716905
2363	3716920
2364	3716914
2365	3716919
2366	3716918
2367	37179033
2368	37179041
2369	37179021
2370	37179028
2371	37179020B
2372	37179029C
2373	37179017B
2374	37179031
2375	37179043
2376	37179038A
2377	37179019
2378	37179007
2379	37179022
2380	37179037A
2381	37179018
2382	37179023
2383	37179042
2384	37179005
2385	37179004
2386	37179001
2387	37179034
2388	37179006
2389	37179036
2390	37179027
2391	37179008
2392	37179013
2393	37179039
2394	37179010
2395	37179003
2396	37179002
2397	37179025
2398	37179024
2399	37179009
2400	37179026
2401	37179032
2402	37179040
2403	37179014
2404	37179030
2405	37179016
2406	37179015
2407	37179012
2408	37179035
2409	37179011
2410	37179020A
2411	37179017A
2412	37179029A
2413	37179038B
2414	37179037B
2415	37179029B
2416	3718308-05
2417	3718308-04
2418	3718308-03
2419	3718308-02
2420	3718301-26
2421	3718301-25
2422	3718301-23
2423	3718307-13
2424	3718307-12
2425	3718307-11
2426	3718307-10
2427	3718307-09
2428	3718301-22
2429	3718301-21
2430	3718301-20
2431	3718301-19
2432	3718301-18
2433	3718301-17
2434	3718301-16
2435	3718301-15
2436	3718307-07
2437	3718307-06
2438	3718307-05
2439	3718301-14
2440	3718301-13
2441	3718301-12
2442	3718301-11
2443	3718307-04
2444	3718307-03
2445	3718307-02
2446	3718301-10
2447	3718301-09
2448	3718301-07
2449	3718307-01
2450	3718306-06
2451	3718306-07
2452	3718306-05
2453	3718306-04
2454	3718306-01
2455	3718305-06
2456	3718305-05
2457	3718305-04
2458	3718305-03
2459	3718305-01
2460	3718304-21
2461	3718301-06
2462	3718301-05
2463	3718304-20
2464	3718304-19
2465	3718304-18
2466	3718301-04
2467	3718301-03
2468	3718304-17
2469	3718304-16
2470	3718304-15
2471	3718304-14
2472	3718304-13
2473	3718304-12
2474	3718301-02
2475	3718301-01
2476	3718304-11
2477	3718304-10
2478	3718304-09
2479	3718304-08
2480	3718304-07
2481	3718304-06
2482	3718304-05
2483	3718304-04
2484	3718304-03
2485	3718304-02
2486	3718320-12
2487	3718320-11
2488	3718320-10
2489	3718320-09
2490	3718320-08
2491	3718320-06
2492	3718320-05
2493	3718320-04
2494	3718320-03
2495	3718320-02
2496	3718320-01
2497	3718319-17
2498	3718319-16
2499	3718319-12
2500	3718319-11
2501	3718304-01
2502	3718303-00
2503	3718302-06
2504	3718302-05
2505	3718302-04
2506	3718302-03
2507	3718302-02
2508	3718302-01
2509	3718319-10
2510	3718319-09
2511	3718319-07
2512	3718319-06
2513	3718319-05
2514	3718319-04
2515	3718319-03
2516	3718318-08
2517	3718318-07
2518	3718318-06
2519	3718318-05
2520	3718318-04
2521	3718318-03
2522	3718318-02
2523	3718318-01
2524	3718317-11
2525	3718301-51
2526	3718301-50
2527	3718301-49
2528	3718301-48
2529	3718301-47
2530	3718317-10
2531	3718317-09
2532	3718317-08
2533	3718317-07
2534	3718317-06
2535	3718317-05
2536	3718317-04
2537	3718317-03
2538	3718317-02
2539	3718317-01
2540	3718316-09
2541	3718316-08
2542	3718316-07
2543	3718301-46
2544	3718301-45
2545	3718316-06
2546	3718316-05
2547	3718316-04
2548	3718301-44
2549	3718301-43
2550	3718301-42
2551	3718301-41
2552	3718316-03
2553	3718316-02
2554	3718316-01
2555	3718315-04
2556	3718315-03
2557	3718315-02
2558	3718315-01
2559	3718314-02
2560	3718314-01
2561	3718313-11
2562	3718313-10
2563	3718313-09
2564	3718301-40
2565	3718301-39
2566	3718301-38
2567	3718301-37
2568	3718301-36
2569	3718301-35
2570	3718313-08
2571	3718313-07
2572	3718313-06
2573	3718313-05
2574	3718313-02
2575	3718313-01
2576	3718312-09
2577	3718312-08
2578	3718312-07
2579	3718312-06
2580	3718312-05
2581	3718312-04
2582	3718301-34
2583	3718301-33
2584	3718312-02
2585	3718312-01
2586	3718311-02
2587	3718311-01
2588	3718310-04
2589	3718310-03
2590	3718310-02
2591	3718310-01
2592	3718309-03
2593	3718309-02
2594	3718309-01
2595	3718308-11
2596	3718308-10
2597	3718308-09
2598	3718308-08
2599	3718308-07
2600	3718308-06
2601	3718301-32
2602	3718301-31
2603	3718301-30
2604	3718301-29
2605	3718301-28
2606	3718301-27
2607	37031MARS
2608	37031NPT1
2609	37031NPT2
2610	37031HAIS
2611	37031IBSP
2612	37031MHD4
2613	37031OTST
2614	37031BFT1
2615	37031CCCP
2616	37031PELE
2617	37031BFT2
2618	37031MHD1
2619	37031WILD
2620	37031BOGU
2621	37031MCRK
2622	37031MHD2
2623	37031ABCH
2624	37031BCRK
2625	37031EMIS
2626	37031SMYR
2627	37031CDIS
2628	37031SLVL
2629	37031STAC
2630	37031BETT
2631	37031HARL
2632	37031WIRE
2633	37031MHD3
2634	37031PKNL
2635	37031DAVI
2636	37031NRIV
2637	37031STEL
2638	37031MERR
2639	37031ATLN
2640	37031WILL
2641	37051CC34
2642	37051CC18
2643	37051CU02
2644	37051G4
2645	37051G8
2646	37051CC06
2647	37051CC13
2648	37051CC16
2649	37051CC12
2650	37051CC15
2651	37051CC10
2652	37051CC07
2653	37051CC08
2654	37051CC04
2655	37051CC05
2656	37051CC19
2657	37051G9
2658	37051G6
2659	37051AL51
2660	37051AH49
2661	37051G10
2662	37051EO61-1
2663	37051EO61-2
2664	37051CC31
2665	37051G2
2666	37051CL57
2667	37051CC01
2668	37051CC17
2669	37051CC26
2670	37051G11
2671	37051LI65
2672	37051CC27
2673	37051G3
2674	37051MR02
2675	37051SH77
2676	37051G1
2677	37051CC14
2678	37051CC21
2679	37051G7
2680	37051CC25
2681	37051CC03
2682	37051CC33
2683	37051CC32
2684	37051LR63
2685	37051MB62
2686	37051CC24
2687	37051CC29
2688	37051G5
2689	37173ALARKA
2690	37173BC2
2691	37173BC1
2692	37173WHCH
316	3717120
1658	3705712
