FID	GEOID10
461	3703509
462	3703536
463	3703511
464	37047P09
465	37047P20
466	37047P22
467	37047P07
468	37047P18
469	37047P23
470	37047P14
471	37047P25
472	37047P02
473	37047P12
474	3703530
475	3703505
476	371374VM
477	371375AP
478	37061BEUL
479	37061HALL
480	37061CHAR
481	37061CFRK
482	37061KENA
483	37061ROCK
484	37061CYRK
485	371270041
486	371270007
487	37061FAIS
488	37061WARS
489	37061WALL
490	371372OT
491	371374HB
492	371371RB
493	371371AL
494	371373BY
495	371372SW
496	37061CHIN
497	37061MAGN
498	37061ALBE
499	371270022
500	37061LOCK
501	37061CALY
502	37061ROSE
503	371270021
504	37061SMCA
505	37061GLIS
506	37061WOLF
507	371270005
508	371270039
509	371270026
510	371270036
511	371270003
512	371270031
513	371270038
514	371270015
515	371270035
516	371270040
517	371270025
518	371270012
519	371270004
520	371270008
521	371270033
522	371270037
523	37123ELD
524	37123OPH
525	37123UWH
526	37123WAD
527	37089BC
528	37089CC
529	37123LIT
530	37123T2
531	37123MTG
532	37123STA
533	37123BIS
534	37123PEE
535	37123T1
536	37123CHE
537	37123CAN
538	37123ROC
539	37089AT
540	37089HC
541	37089SW
542	37089NE
543	37089NB
544	37089HV-2
545	37089MG
546	37089GM
547	37089EF
548	37089RR
549	37089AR
550	37089LP
551	37089PV
552	37089ES
553	37089HS
554	37089NW
555	37089LJ
556	37089CB
557	37089SM
558	37089FR
559	37089EV
560	370411
561	370413
562	370416
563	370412
564	370414
565	370415
566	37089NM
567	37089PR
568	37089GR
569	37089BK
570	37089HV-1
571	37007POLK
572	37007GULL
573	37007ANS
574	37007BURN
575	37007MM
576	37007W3
577	37007W2
578	37007W1
579	37007LILE
580	37007WS
581	37007PEAC
582	37089SE
583	37089RG
584	37089SB
585	37089ED
586	37089FL
587	37089HV-3
588	371471507B
589	371470200A
590	371471403A
591	371471001
592	371470200B
593	371470301
594	371471504
595	371471403B
596	371471501
597	371470601
598	371470800A
599	371471511B
600	371470701
601	371471503
602	371470101
603	371471505B
604	37039HOTH
605	37039HIWA
606	37039BEAV
607	37039HANG
608	37039NOTL
609	37039BELL
610	37039MURS
611	37039PCHT
612	37039ANSW
613	37039ANNW
614	37039MURN
615	37039MARB
616	37039TOPT
617	37039BRAS
618	371471508A
619	371471506
620	371471505A
621	371471510B
622	371471402A
623	371471510A
624	371471301
625	371471102A
626	371471511A
627	371471509
628	371471101
629	371470501
630	371470401
631	371470901
632	371470800B
633	371471201
634	371471512B
635	371471102B
636	371471512A
637	371471508B
638	371471507
639	371471402B
640	37175SW
641	37175BD
642	37175GL
643	37175PF
644	37175RE
645	37175CC
646	37175B3
647	37175B2
648	37175LR
649	37175B4
650	37175WC
651	37175B1
652	37175DR
653	37175CM
654	37175BG
655	37175LT
656	37175QB
657	37175EF
658	37129H03
659	37129W16
660	37141SH12
661	37141LT18
662	37109OG10
663	37109HG17
664	37109PC22
665	37109DW28
666	37109DN29
667	37109OB21
668	37109IS23
669	37109TE27
670	37109CF19
671	3719123
672	3719117
673	3719126
674	3719115
675	3719127
676	3719111
677	3719128
678	3719108
679	3719103
680	3719109
681	37109LW18
682	37109IS20
683	37109LW31
684	37109NB03
685	37109WP32
686	37109DV08
687	37109LM16
688	37109TR30
689	37109NB09
690	37109LN11
691	37109HV07
692	37109LS12
693	37109LI14
694	37109LS15
695	37109SL24
696	37109BC13
697	37109CR06
698	3719110
699	3719114
700	3719104
701	3719102
702	3719119
703	3719101
704	3719107
705	3719116
706	3719105
707	3719124
708	3719106
709	3719122
710	3719125
711	3719121
712	3719120
713	3719118
714	3719112
715	37109BS26
716	37109AS25
717	371391-B
718	37139SAL
719	3719113
720	3719129
721	3719130
722	371394-B
723	371392-A
724	37139NIX
725	37139MH
726	37139NEW
727	371394-A
728	371393-B
729	371393-A
730	371391-A
731	371392-B
732	37139PRO
733	37193107
734	37193125
735	37193124
736	37193119
737	37193127
738	37129CF02
739	37129FP03
740	37129FP02
741	37129CF01
742	37129W30
743	37129M03
744	37129H07
745	37129H09
746	37193123
747	37193105
748	37193106
749	37193118
750	37193108
751	37193128
752	37193126
753	37193117
754	37193101
755	37193122
756	37193114
757	37193110
758	37193113
759	37193111
760	37193120
761	37193115A
762	37193121
763	37193102
764	37193112
765	37193129
766	37193104
767	37129WB
768	37129FP01
769	37129M04
770	37129FP04
771	37193103
772	37193109
773	37129W17
774	37129M02
775	37129M05
776	37129FP05
777	37129CF03
778	37129H06
779	37129W25
780	37129W08
781	37129W15
782	37129W29
783	37129W27
784	37129W03
785	37129W26
786	3718512
787	37129W31
788	37129H01
789	37129H04
790	37129W12
791	37129H08
792	371851
793	371852
794	371859
795	371853
796	371858
797	371855
798	371854
799	3718514
800	3718513
801	371856
802	37129W28
803	37129H02
804	37129W13
805	37129H05
806	3718510
807	371857
808	3718511
809	37129W24
810	37129W18
811	37129W21
812	37081CG1
813	37081H17
814	37081G08
815	37081STOK
816	37081G12
817	37081JEF2
818	37081G13
819	37081H20A
820	37081JAM1
821	37081H20B
822	37081SF2
823	37081G11
824	37081G16
825	37081G01
826	37081G72
827	37081G68
828	37081SUM1
829	37081GR
830	37081H21
831	37081NCGR2
832	37081MON3
833	37081NMAD
834	37081NWASH
835	37081OR1
836	37081SF1
837	37081NCGR1
838	37081OR2
839	37081MON2
840	37081SWASH
841	37081SF4
842	37081SMAD
843	37081SF3
844	37081G37
845	37081G15
846	37081G67
847	37081G14
848	37081H22
849	37081JAM4
850	37081SUM2
851	37081H18
852	37081H19B
853	37081CG2
854	37081CG3B
855	37081G49
856	37081G71
857	37081H15
858	37081H19A
859	37099CAN
860	37099GCK
861	37099CUL
862	37099SYLDIL
863	37099SAV
864	37099WEB
865	37099CFK
866	37099RIV
867	37099ALLSC
868	37099BCK
869	37099HAMMNT
870	37099CAS
871	37099QUA
872	37081CG3A
873	37081G27
874	37081JEF1
875	37081MON1
876	37081G63
877	37081G45
878	37081G44
879	37081G70
880	37081G69
881	37081PG1
882	37081G28
883	37081G26
884	37081NDRI
885	37081G10
886	37081FR5
887	37081G09
888	37081G48
889	37081HP
890	37081G46
891	37081G47
892	37081SUM3
893	37081H16
894	37081FR3
895	37081G40A2
896	37081FR4
897	37081G25
898	37081G74
899	37081G51
900	37081H10
901	37081H06
902	37081H11
903	37081G29
904	37081G40B
905	37081G21
906	37081G40A1
907	37081RC1
908	37081G50
909	37081FR2
910	37081JEF4
911	37081H05
912	37081H12
913	37081H14
914	37081JAM5
915	37081G30
916	37081G24
917	37081GIB
918	37081G22
919	37081G73
920	37081JEF3
921	37081G62
922	37081FR1
923	37081H09
924	37081H13
925	37081PG2
926	37081G41
927	37081G06
928	37081G23
929	37081G32
930	37081G07
931	37081H25
932	37081H27
933	37081G61
934	37081H07
935	37081SCLAY
936	37081G31
937	37081G20
938	37081G03
939	37081G52
940	37081G60
941	37081G58
942	37081G75
943	37081H24
944	37081SUM4
945	37081H08
946	37081H02
947	37081G05
948	37081G64
949	37081G34
950	37081SDRI
951	37081G56
952	37081G66
953	37081G65
954	37081G53
955	37081H03
956	37081H04
957	37081H01
958	37081G33
959	37081G39
960	37081G02
961	37081G54
962	37081JAM3
963	37081H26
964	37081G19
965	37081G42
966	37081G18
967	37081G59
968	37081FEN1
969	37081G57
970	37081G17
971	37081RC2
972	37081G04
973	37081G36
974	37081G38
975	37081JAM2
976	37081H23
977	37081G35
978	37081G43
979	37081FEN2
980	37081G55
981	37081NCLAY1
982	37081NCLAY2
983	37067201
984	37067112
985	37067603
986	37163CLEA
987	37163AUTR
988	37163ROSE
989	37163TURK
990	37163SBRG
991	37163WBRK
992	37163LAKE
993	37163GARL
994	37163CLCE
995	37163KFRK
996	37163CLNE
997	37163PLVW
998	37163CLSW
999	37163CLWE
1000	37163KEEN
1001	37163HARR
1002	37163INGO
1003	37163ROWA
1004	37163NGRV
1005	37163GIDD
1006	37163MING
1007	37163CLEM
1008	37067805
1009	37067503
1010	37163HERR
1011	37067606
1012	37067068
1013	37067504
1014	37067405
1015	37067204
1016	37067306
1017	37067206
1018	37067605
1019	37067011
1020	37067065
1021	37067803
1022	37067802
1023	37067706
1024	37067901
1025	37067903
1026	37067907
1027	37067801
1028	37067122
1029	37067033
1030	37067083
1031	37067207
1032	37067064
1033	37067904
1034	37067111
1035	37067809
1036	37067807
1037	37067071
1038	37067052
1039	37067908
1040	37067501
1041	37067909
1042	37067123
1043	37067602
1044	37067906
1045	37067081
1046	37067034
1047	37067132
1048	37067072
1049	37067502
1050	37067062
1051	37067074
1052	37067015
1053	37067404
1054	37067131
1055	37067808
1056	37067075
1057	37067053
1058	37067705
1059	37067707
1060	37067101
1061	37067806
1062	37067701
1063	37067067
1064	37067073
1065	37067133
1066	37067051
1067	37067055
1068	37067054
1069	37067702
1070	37067905
1071	37067709
1072	37067031
1073	37067032
1074	37067092
1075	37067091
1076	37115SANDY
1077	37115NORTH
1078	37115LAUREL
1079	37115REVERE
1080	37115GRAPEV
1081	37115EBBS-C
1082	37115MARS-H
1083	37115SOUTH
1084	37115WALNUT
1085	37115HOT-SP
1086	37115SPRING
